Drug Name,1,2,3,4,5,6,7,8,9,10
Esomeprazole / Naproxen,MYLAN,,,,,,,,,
Estradiol Derm Patch,SDZ,,,,,,,,,
Estradiol tab,LUPIN,,,,,,,,,
Eszopiclone,MAR,,,,,,,,,
Ethosuximide,MAR,,,,,,,,,
Everolimus,TEVA/RTP/ACT,PMS,SDZ,,,,,,,
Exemestane,TEVA/RTP/ACT,JAMP,,,,,,,,
Ezetimibe,SDZ,MAR,APO,TARO/RAN,JAMP,MINT,AURO,PMS,,
Famciclovir,APO,,,,,,,,,
Famotidine,JAMP,TEVA/RTP/ACT,MINT,,,,,,,
Fampridine,TARO/RAN,PMS,,,,,,,,
Febuxostat,TEVA/RTP/ACT,MAR,AURO,JAMP,,,,,,
Felodipine,SDZ,APO,,,,,,,,
Fenofibrate E,TARO/RAN,SDZ,,,,,,,,
Fenofibrate Micro,AA,,,,,,,,,
Fenofibrate S,AA,,,,,,,,,
Fentanyl Cit Injection,SDZ,,,,,,,,,
Fentanyl Patch,SDZ,TEVA/RTP/ACT,,,,,,,,
Fesoterodine,SDZ,,,,,,,,,
Finasteride,TEVA/RTP/ACT,SDZ,PMS,JAMP,AURO,MINT,APO,,,
Flecainide,APO,JAMP,AURO,,,,,,,
Fluconazole,APO,MAR,JAMP,PMS,MYLAN,,,,,
Fludrocortisone,JAMP,,,,,,,,,
Flumazenil Injection,SDZ,,,,,,,,,
Flunarizine,AA,,,,,,,,,
Fluocinonide,TARO/RAN,,,,,,,,,
Fluoromethalone Opth,SDZ,,,,,,,,,
Fluoxetine,TEVA/RTP/ACT,PMS,APO,MAR,AURO,MINT,JAMP,,,
Fluoxetine Soln,APO,JAMP,,,,,,,,
Fluphenazine,AA,,,,,,,,,
Flurazepam,AA,,,,,,,,,
Flurbiprofen,AA,,,,,,,,,
Flutamide,AA,,,,,,,,,
Fluticasone / Salmeterol Inh (Myl-Wixela),PMS,MYLAN,,,,,,,,
Fluticasone Inh,APO,PMS,,,,,,,,
Fluticasone Nasal Spray,TEVA/RTP/ACT,APO,,,,,,,,
Fluvastatin,TEVA/RTP/ACT,,,,,,,,,
Fluvoxamine,APO,TEVA/RTP/ACT,,,,,,,,
Folic Acid,JAMP,,,,,,,,,
Fosfomycin,JAMP,,,,,,,,,
Fosinopril,TEVA/RTP/ACT,APO,,,,,,,,
Frovatriptan,MINT,APO,JAMP,,,,,,,
Fulvestrant Inj,TEVA/RTP/ACT,SDZ,JAMP,,,,,,,
Furosemide,MINT,APO,,,,,,,,
Furosemide Injection,SDZ,JAMP,,,,,,,,
Gabapentin,TEVA/RTP/ACT,APO,PMS,MINT,AURO,JAMP,,,,
Galantamine,AURO,MYLAN,,,,,,,,
Gatifloxacin Oph,JAMP,APO,,,,,,,,
Gemfibrozil,TEVA/RTP/ACT,,,,,,,,,
Gentamicin Injection,SDZ,,,,,,,,,
Gliclazide,TEVA/RTP/ACT,APO,,,,,,,,
Gliclazide MR,TARO/RAN,JAMP,MINT,MYLAN,APO,,,,,
Glimepiride,SDZ,,,,,,,,,
Glyburide,TEVA/RTP/ACT,APO,,,,,,,,
Glycopyrrolate Injection,SDZ,JAMP,,,,,,,,
Granisetron,APO,,,,,,,,,
Guanfacine,APO,JAMP,,,,,,,,
Haloperidol,TEVA/RTP/ACT,,,,,,,,,
Haloperidol Injection,SDZ,,,,,,,,,
Haloperidol LA Injection,SDZ,,,,,,,,,
Heparin Injection,SDZ,,,,,,,,,
Hydralazine,APO,MINT,JAMP,,,,,,,
Hydrochlorothiazide,PMS,MINT,APO,,,,,,,
Hydrocortisone Crm/Oint,SDZ,JAMP,TARO/RAN,,,,,,,
Hydrocortisone Tab,AURO,,,,,,,,,
Hydromorphone,APO,PMS,,,,,,,,
Hydromorphone HCl Injection,SDZ,,,,,,,,,
Hydromorphone Syrup,PMS,,,,,,,,,
Hydroxychloroquine,APO,JAMP,MINT,,,,,,,
Hydroxyurea,APO,MYLAN,,,,,,,,
Hydroxyzine,AA,,,,,,,,,
Hyoscine Injection,SDZ,,,,,,,,,
Ibuprofen,APO,JAMP,,,,,,,,
Imatinib,TEVA/RTP/ACT,MINT,PMS,APO,JAMP,,,,,
Imipramine,APO,JAMP,,,,,,,,
Imiquimod,TARO/RAN,,,,,,,,,
Indapamide,APO,MYLAN,,,,,,,,
Indomethacin,TEVA/RTP/ACT,MINT,,,,,,,,
Ipratropium / Salbutamol,TEVA/RTP/ACT,,,,,,,,,
Ipratropium Inh Soln,TEVA/RTP/ACT,PMS,AA,,,,,,,
Ipratropium Nasal,PMS,AA,,,,,,,,
Ipratropium Puffer,JAMP,,,,,,,,,
Irbesartan,TARO/RAN,SDZ,PMS,JAMP,MINT,,,,,
Irbesartan HCT,SDZ,PMS,,,,,,,,
Iron Sucrose Injection,PMS,,,,,,,,,
Isosorbide Dinitrate (ISDN),AA,,,,,,,,,
Isosorbide Mononitrate (ISMN),PMS,APO,,,,,,,,
Isotretinoin (Myl-Clarus),MYLAN,,,,,,,,,
Itraconazole,MINT,,,,,,,,,
Itraconazole Soln,JAMP,,,,,,,,,
Ketamine Injection,SDZ,,,,,,,,,
Ketoconazole,TEVA/RTP/ACT,APO,,,,,,,,
Ketoconazole cream,TARO/RAN,,,,,,,,,
Ketoprofen,AA,,,,,,,,,
Ketorolac,MAR,MINT,JAMP,APO,,,,,,
Ketorolac Injection,JAMP,,,,,,,,,
Ketorolac Opth,AA,,,,,,,,,
Ketotifen Oph,JAMP,,,,,,,,,
Labetalol,APO,,,,,,,,,
Labetalol Injection,SDZ,,,,,,,,,
Lacosamide,TEVA/RTP/ACT,AURO,SDZ,PMS,JAMP,MINT,,,,
Lamivudine,APO,JAMP,,,,,,,,
Lamivudine / Zidovudine,APO,AURO,JAMP,,,,,,,
Lamotrigine,APO,JAMP,AURO,MYLAN,,,,,,
Lansoprazole,SDZ,APO,MYLAN,,,,,,,
Lansoprazole / Amoxicillin / Clarithromycin,AA,,,,,,,,,
Latanoprost,TEVA/RTP/ACT,SDZ,JAMP,APO,MYLAN,,,,,
Latanoprost/Timolol,TEVA/RTP/ACT,JAMP,MYLAN,,,,,,,
Leflunomide,TEVA/RTP/ACT,MAR,SDZ,APO,,,,,,
Letrozole,TEVA/RTP/ACT,JAMP,MAR,APO,SDZ,PMS,MINT,,,
Leucovorin,MINT,JAMP,,,,,,,,
Levetiracetam,TEVA/RTP,SDZ,AURO,MINT,APO,JAMP,PMS,,,
Levetiracetam Oral Solution,PMS,MINT,,,,,,,,
Levocarb CR,AA,,,,,,,,,
Levocarbidopa,PMS,APO,AURO,MINT,,,,,,
Levofloxacin,SDZ,APO,TEVA/RTP/ACT,JAMP,MINT,,,,,
"Levonorgestrel (Plan B, Apo - Backup Plan, Mylan - Contingency One, Jamp - Mystep)",APO,MYLAN,JAMP,,,,,,,
"Levonorgestrel / Ethinyl Estradiol (Alesse; Apo - Alysena, Teva - Aviane)",TEVA/RTP/ACT,APO,,,,,,,,
Levothyroxine,APO,,,,,,,,,
Linezolid,SDZ,JAMP,APO,,,,,,,
Liothyronine,TEVA/RTP/ACT,AURO,,,,,,,,
Lisdexamfetamine,TEVA/RTP/ACT,APO,SDZ,TARO/RAN,JAMP,,,,,
Lisinopril,APO,TEVA/RTP/ACT,AURO,,,,,,,
Lisinopril HCT,SDZ,TEVA/RTP/ACT,,,,,,,,
Lithium Carbonate,APO,PMS,,,,,,,,
Lorazepam,PMS,TEVA/RTP/ACT,APO,AA,,,,,,
Lorazepam Injection,SDZ,,,,,,,,,
Losartan,TEVA/RTP/ACT,SDZ,JAMP,AURO,MINT,PMS,,,,
Losartan HCT,AURO,SDZ,MINT,PMS,,,,,,
Lovastatin,AA,,,,,,,,,
Loxapine Inj,SDZ,,,,,,,,,
Lurasidone,TARO/RAN,SDZ,AURO,PMS,JAMP,,,,,
"Marvelon or Ortho Cept Generic (Apo - Mirvala, Teva - Apri, Myl-Freya)",TEVA/RTP/ACT,APO,MYLAN,,,,,,,
Medroxyprogesterone,AA,,,,,,,,,
Mefenamic Acid,AA,,,,,,,,,
Mefloquine,AA,,,,,,,,,
Megestrol,AA,,,,,,,,,
Meloxicam,TEVA/RTP/ACT,APO,PMS,AURO,,,,,,
Memantine,SDZ,TEVA/RTP/ACT,PMS,APO,MINT,,,,,
Meperidine Injection,SDZ,,,,,,,,,
Meropenem Injection,SDZ,JAMP,,,,,,,,
Metformin,MAR,JAMP,MINT,SDZ,PRZ,AURO,,,,
